"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","25","test-suite","test_utility_functional","","","","test_negative_no_token[getInfoByZip-90012]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","26","test-suite","test_utility_functional","","","","test_get_info_by_location[Los Angeles, CA]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","112","test-suite","test_utility_functional","","","","test_smoke_urls_healthy[Location Geocode API]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","24","test-suite","test_utility_functional","","","","test_smoke_urls_healthy[ZIP Code Geocode API]",""
"passed","Thu Mar 06 04:48:03 UTC 2025","Thu Mar 06 04:48:03 UTC 2025","263","test-suite","test_utility_e2e","","","","test_smoke_cli_runs_successfully[ZIP Code: 10001]",""
"passed","Thu Mar 06 04:48:04 UTC 2025","Thu Mar 06 04:48:04 UTC 2025","174","test-suite","test_utility_e2e","","","","test_geolocation_utility_e2e[ZIP Code: 10001]",""
"passed","Thu Mar 06 04:48:03 UTC 2025","Thu Mar 06 04:48:04 UTC 2025","175","test-suite","test_utility_e2e","","","","test_geolocation_utility_e2e[ZIP Code: 90012]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","25","test-suite","test_utility_functional","","","","test_negative_invalid_token[getInfoByZip-90012]",""
"passed","Thu Mar 06 04:48:04 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","908","test-suite","test_utility_functional","","","","test_smoke_urls_healthy[BASE_URL]",""
"passed","Thu Mar 06 04:48:04 UTC 2025","Thu Mar 06 04:48:04 UTC 2025","180","test-suite","test_utility_e2e","","","","test_geolocation_utility_e2e[City-State: Madison,WI]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","109","test-suite","test_utility_functional","","","","test_get_info_by_zip[12345]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","24","test-suite","test_utility_functional","","","","test_negative_invalid_token[getInfoByLocations-Los Angeles,CA]",""
"passed","Thu Mar 06 04:48:03 UTC 2025","Thu Mar 06 04:48:03 UTC 2025","175","test-suite","test_utility_e2e","","","","test_geolocation_utility_e2e[City-State: Los Angeles,CA]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:06 UTC 2025","111","test-suite","test_utility_functional","","","","test_negative_invalid_request_data[getInfoByZip-90012]",""
"passed","Thu Mar 06 04:48:02 UTC 2025","Thu Mar 06 04:48:02 UTC 2025","299","test-suite","test_utility_e2e","","","","test_smoke_cli_runs_successfully[City-State: Los Angeles,CA]",""
"passed","Thu Mar 06 04:48:03 UTC 2025","Thu Mar 06 04:48:03 UTC 2025","262","test-suite","test_utility_e2e","","","","test_smoke_cli_runs_successfully[City-State: Madison,WI]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","24","test-suite","test_utility_functional","","","","test_negative_no_token[getInfoByLocations-Los Angeles,CA]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","25","test-suite","test_utility_functional","","","","test_get_info_by_zip[90012]",""
"passed","Thu Mar 06 04:48:02 UTC 2025","Thu Mar 06 04:48:03 UTC 2025","271","test-suite","test_utility_e2e","","","","test_smoke_cli_runs_successfully[ZIP Code: 90012]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","110","test-suite","test_utility_functional","","","","test_get_info_by_location[Madison, WI]",""
"passed","Thu Mar 06 04:48:05 UTC 2025","Thu Mar 06 04:48:05 UTC 2025","116","test-suite","test_utility_functional","","","","test_negative_invalid_request_data[getInfoByLocations-Los Angeles,CA]",""
